"No. of Samples","No. of ESVs","Freq of Samples","Freq. of ESVs","cumsumFreq ESVs"
132,27,0.138365,0.000205,0.985505
133,26,0.139413,0.000197,0.985702
134,21,0.140461,0.000159,0.985861
135,22,0.141509,0.000167,0.986028
136,23,0.142558,0.000175,0.986203
137,19,0.143606,0.000144,0.986347
138,21,0.144654,0.000159,0.986506
139,21,0.145702,0.000159,0.986665
140,24,0.146751,0.000182,0.986847
141,18,0.147799,0.000137,0.986984
142,33,0.148847,0.00025,0.987234
143,20,0.149895,0.000152,0.987386
144,20,0.150943,0.000152,0.987538
145,19,0.151992,0.000144,0.987682
146,17,0.15304,0.000129,0.987811
147,14,0.154088,0.000106,0.987917
148,19,0.155136,0.000144,0.988061
149,20,0.156184,0.000152,0.988213
150,11,0.157233,8.3e-05,0.988296
151,13,0.158281,9.9e-05,0.988395
152,17,0.159329,0.000129,0.988524
153,21,0.160377,0.000159,0.988683
154,14,0.161426,0.000106,0.988789
155,17,0.162474,0.000129,0.988918
156,18,0.163522,0.000137,0.989055
157,18,0.16457,0.000137,0.989192
158,18,0.165618,0.000137,0.989329
159,17,0.166667,0.000129,0.989458
160,12,0.167715,9.1e-05,0.989549
161,18,0.168763,0.000137,0.989686
162,12,0.169811,9.1e-05,0.989777
163,11,0.17086,8.3e-05,0.98986
164,14,0.171908,0.000106,0.989966
165,16,0.172956,0.000121,0.990087
166,11,0.174004,8.3e-05,0.99017
167,11,0.175052,8.3e-05,0.990253
168,12,0.176101,9.1e-05,0.990344
169,15,0.177149,0.000114,0.990458
170,17,0.178197,0.000129,0.990587
171,13,0.179245,9.9e-05,0.990686
172,9,0.180294,6.8e-05,0.990754
173,17,0.181342,0.000129,0.990883
174,10,0.18239,7.6e-05,0.990959
175,11,0.183438,8.3e-05,0.991042
176,9,0.184486,6.8e-05,0.99111
177,10,0.185535,7.6e-05,0.991186
178,15,0.186583,0.000114,0.9913
179,9,0.187631,6.8e-05,0.991368
180,7,0.188679,5.3e-05,0.991421
181,12,0.189727,9.1e-05,0.991512
182,8,0.190776,6.1e-05,0.991573
183,11,0.191824,8.3e-05,0.991656
184,7,0.192872,5.3e-05,0.991709
185,17,0.19392,0.000129,0.991838
186,10,0.194969,7.6e-05,0.991914
187,12,0.196017,9.1e-05,0.992005
188,9,0.197065,6.8e-05,0.992073
189,15,0.198113,0.000114,0.992187
190,11,0.199161,8.3e-05,0.99227
191,5,0.20021,3.8e-05,0.992308
192,10,0.201258,7.6e-05,0.992384
193,11,0.202306,8.3e-05,0.992467
194,10,0.203354,7.6e-05,0.992543
195,10,0.204403,7.6e-05,0.992619
196,8,0.205451,6.1e-05,0.99268
197,10,0.206499,7.6e-05,0.992756
198,9,0.207547,6.8e-05,0.992824
199,12,0.208595,9.1e-05,0.992915
200,1,0.209644,8e-06,0.992923
201,2,0.210692,1.5e-05,0.992938
202,4,0.21174,3e-05,0.992968
203,12,0.212788,9.1e-05,0.993059
204,7,0.213836,5.3e-05,0.993112
205,11,0.214885,8.3e-05,0.993195
206,11,0.215933,8.3e-05,0.993278
207,9,0.216981,6.8e-05,0.993346
208,6,0.218029,4.6e-05,0.993392
209,11,0.219078,8.3e-05,0.993475
210,7,0.220126,5.3e-05,0.993528
211,6,0.221174,4.6e-05,0.993574
212,7,0.222222,5.3e-05,0.993627
213,7,0.22327,5.3e-05,0.99368
214,3,0.224319,2.3e-05,0.993703
215,7,0.225367,5.3e-05,0.993756
216,7,0.226415,5.3e-05,0.993809
217,7,0.227463,5.3e-05,0.993862
218,11,0.228512,8.3e-05,0.993945
219,5,0.22956,3.8e-05,0.993983
220,6,0.230608,4.6e-05,0.994029
221,10,0.231656,7.6e-05,0.994105
222,8,0.232704,6.1e-05,0.994166
223,7,0.233753,5.3e-05,0.994219
224,10,0.234801,7.6e-05,0.994295
225,7,0.235849,5.3e-05,0.994348
226,12,0.236897,9.1e-05,0.994439
227,3,0.237945,2.3e-05,0.994462
228,10,0.238994,7.6e-05,0.994538
229,3,0.240042,2.3e-05,0.994561
230,7,0.24109,5.3e-05,0.994614
231,8,0.242138,6.1e-05,0.994675
232,3,0.243187,2.3e-05,0.994698
233,4,0.244235,3e-05,0.994728
234,5,0.245283,3.8e-05,0.994766
235,5,0.246331,3.8e-05,0.994804
236,10,0.247379,7.6e-05,0.99488
237,8,0.248428,6.1e-05,0.994941
238,9,0.249476,6.8e-05,0.995009
239,5,0.250524,3.8e-05,0.995047
240,8,0.251572,6.1e-05,0.995108
241,7,0.252621,5.3e-05,0.995161
242,4,0.253669,3e-05,0.995191
243,6,0.254717,4.6e-05,0.995237
244,5,0.255765,3.8e-05,0.995275
245,4,0.256813,3e-05,0.995305
246,6,0.257862,4.6e-05,0.995351
247,7,0.25891,5.3e-05,0.995404
248,4,0.259958,3e-05,0.995434
249,4,0.261006,3e-05,0.995464
250,9,0.262055,6.8e-05,0.995532
251,6,0.263103,4.6e-05,0.995578
252,4,0.264151,3e-05,0.995608
253,9,0.265199,6.8e-05,0.995676
254,10,0.266247,7.6e-05,0.995752
255,4,0.267296,3e-05,0.995782
256,12,0.268344,9.1e-05,0.995873
257,8,0.269392,6.1e-05,0.995934
258,7,0.27044,5.3e-05,0.995987
259,7,0.271488,5.3e-05,0.99604
260,4,0.272537,3e-05,0.99607
261,10,0.273585,7.6e-05,0.996146
262,3,0.274633,2.3e-05,0.996169
263,2,0.275681,1.5e-05,0.996184
264,3,0.27673,2.3e-05,0.996207
265,7,0.277778,5.3e-05,0.99626
266,2,0.278826,1.5e-05,0.996275
267,9,0.279874,6.8e-05,0.996343
268,7,0.280922,5.3e-05,0.996396
269,4,0.281971,3e-05,0.996426
270,3,0.283019,2.3e-05,0.996449
271,6,0.284067,4.6e-05,0.996495
272,4,0.285115,3e-05,0.996525
273,5,0.286164,3.8e-05,0.996563
274,7,0.287212,5.3e-05,0.996616
275,5,0.28826,3.8e-05,0.996654
276,4,0.289308,3e-05,0.996684
277,7,0.290356,5.3e-05,0.996737
278,5,0.291405,3.8e-05,0.996775
279,5,0.292453,3.8e-05,0.996813
280,5,0.293501,3.8e-05,0.996851
281,4,0.294549,3e-05,0.996881
282,2,0.295597,1.5e-05,0.996896
283,4,0.296646,3e-05,0.996926
284,2,0.297694,1.5e-05,0.996941
285,4,0.298742,3e-05,0.996971
286,2,0.29979,1.5e-05,0.996986
287,4,0.300839,3e-05,0.997016
288,4,0.301887,3e-05,0.997046
289,1,0.302935,8e-06,0.997054
290,4,0.303983,3e-05,0.997084
291,3,0.305031,2.3e-05,0.997107
292,1,0.30608,8e-06,0.997115
293,2,0.307128,1.5e-05,0.99713
294,3,0.308176,2.3e-05,0.997153
295,4,0.309224,3e-05,0.997183
296,3,0.310273,2.3e-05,0.997206
297,2,0.311321,1.5e-05,0.997221
298,3,0.312369,2.3e-05,0.997244
299,1,0.313417,8e-06,0.997252
300,2,0.314465,1.5e-05,0.997267
301,3,0.315514,2.3e-05,0.99729
303,4,0.31761,3e-05,0.99732
304,5,0.318658,3.8e-05,0.997358
305,3,0.319706,2.3e-05,0.997381
306,2,0.320755,1.5e-05,0.997396
307,2,0.321803,1.5e-05,0.997411
308,7,0.322851,5.3e-05,0.997464
309,3,0.323899,2.3e-05,0.997487
310,6,0.324948,4.6e-05,0.997533
311,1,0.325996,8e-06,0.997541
312,2,0.327044,1.5e-05,0.997556
313,4,0.328092,3e-05,0.997586
314,3,0.32914,2.3e-05,0.997609
316,2,0.331237,1.5e-05,0.997624
317,3,0.332285,2.3e-05,0.997647
318,2,0.333333,1.5e-05,0.997662
319,5,0.334382,3.8e-05,0.9977
320,2,0.33543,1.5e-05,0.997715
321,2,0.336478,1.5e-05,0.99773
322,1,0.337526,8e-06,0.997738
323,3,0.338574,2.3e-05,0.997761
324,3,0.339623,2.3e-05,0.997784
325,1,0.340671,8e-06,0.997792
326,1,0.341719,8e-06,0.9978
327,3,0.342767,2.3e-05,0.997823
328,3,0.343816,2.3e-05,0.997846
329,1,0.344864,8e-06,0.997854
330,2,0.345912,1.5e-05,0.997869
332,2,0.348008,1.5e-05,0.997884
333,3,0.349057,2.3e-05,0.997907
334,3,0.350105,2.3e-05,0.99793
336,3,0.352201,2.3e-05,0.997953
337,1,0.353249,8e-06,0.997961
338,1,0.354298,8e-06,0.997969
339,1,0.355346,8e-06,0.997977
340,6,0.356394,4.6e-05,0.998023
341,1,0.357442,8e-06,0.998031
342,4,0.358491,3e-05,0.998061
343,9,0.359539,6.8e-05,0.998129
344,3,0.360587,2.3e-05,0.998152
345,2,0.361635,1.5e-05,0.998167
346,2,0.362683,1.5e-05,0.998182
347,1,0.363732,8e-06,0.99819
348,1,0.36478,8e-06,0.998198
349,2,0.365828,1.5e-05,0.998213
350,4,0.366876,3e-05,0.998243
351,2,0.367925,1.5e-05,0.998258
352,1,0.368973,8e-06,0.998266
354,2,0.371069,1.5e-05,0.998281
355,2,0.372117,1.5e-05,0.998296
356,2,0.373166,1.5e-05,0.998311
357,2,0.374214,1.5e-05,0.998326
358,1,0.375262,8e-06,0.998334
359,2,0.37631,1.5e-05,0.998349
360,2,0.377358,1.5e-05,0.998364
361,5,0.378407,3.8e-05,0.998402
362,2,0.379455,1.5e-05,0.998417
363,1,0.380503,8e-06,0.998425
364,1,0.381551,8e-06,0.998433
365,4,0.3826,3e-05,0.998463
366,2,0.383648,1.5e-05,0.998478
367,2,0.384696,1.5e-05,0.998493
368,3,0.385744,2.3e-05,0.998516
369,3,0.386792,2.3e-05,0.998539
371,3,0.388889,2.3e-05,0.998562
372,1,0.389937,8e-06,0.99857
373,2,0.390985,1.5e-05,0.998585
375,2,0.393082,1.5e-05,0.9986
376,2,0.39413,1.5e-05,0.998615
378,2,0.396226,1.5e-05,0.99863
379,4,0.397275,3e-05,0.99866
380,1,0.398323,8e-06,0.998668
381,1,0.399371,8e-06,0.998676
382,2,0.400419,1.5e-05,0.998691
383,1,0.401468,8e-06,0.998699
384,2,0.402516,1.5e-05,0.998714
385,3,0.403564,2.3e-05,0.998737
387,1,0.40566,8e-06,0.998745
388,2,0.406709,1.5e-05,0.99876
389,2,0.407757,1.5e-05,0.998775
391,2,0.409853,1.5e-05,0.99879
392,2,0.410901,1.5e-05,0.998805
393,2,0.41195,1.5e-05,0.99882
394,2,0.412998,1.5e-05,0.998835
395,1,0.414046,8e-06,0.998843
396,3,0.415094,2.3e-05,0.998866
397,2,0.416143,1.5e-05,0.998881
398,2,0.417191,1.5e-05,0.998896
399,3,0.418239,2.3e-05,0.998919
400,1,0.419287,8e-06,0.998927
401,2,0.420335,1.5e-05,0.998942
402,1,0.421384,8e-06,0.99895
403,2,0.422432,1.5e-05,0.998965
404,1,0.42348,8e-06,0.998973
406,1,0.425577,8e-06,0.998981
407,2,0.426625,1.5e-05,0.998996
408,1,0.427673,8e-06,0.999004
409,1,0.428721,8e-06,0.999012
410,1,0.429769,8e-06,0.99902
412,1,0.431866,8e-06,0.999028
413,2,0.432914,1.5e-05,0.999043
416,1,0.436059,8e-06,0.999051
417,1,0.437107,8e-06,0.999059
418,2,0.438155,1.5e-05,0.999074
419,3,0.439203,2.3e-05,0.999097
420,1,0.440252,8e-06,0.999105
421,1,0.4413,8e-06,0.999113
422,1,0.442348,8e-06,0.999121
423,1,0.443396,8e-06,0.999129
427,1,0.447589,8e-06,0.999137
428,1,0.448637,8e-06,0.999145
430,3,0.450734,2.3e-05,0.999168
431,1,0.451782,8e-06,0.999176
432,2,0.45283,1.5e-05,0.999191
433,1,0.453878,8e-06,0.999199
436,1,0.457023,8e-06,0.999207
437,3,0.458071,2.3e-05,0.99923
438,1,0.459119,8e-06,0.999238
439,2,0.460168,1.5e-05,0.999253
440,1,0.461216,8e-06,0.999261
441,1,0.462264,8e-06,0.999269
442,1,0.463312,8e-06,0.999277
443,1,0.464361,8e-06,0.999285
444,2,0.465409,1.5e-05,0.9993
446,1,0.467505,8e-06,0.999308
447,2,0.468553,1.5e-05,0.999323
450,1,0.471698,8e-06,0.999331
451,2,0.472746,1.5e-05,0.999346
452,2,0.473795,1.5e-05,0.999361
454,1,0.475891,8e-06,0.999369
456,1,0.477987,8e-06,0.999377
457,1,0.479036,8e-06,0.999385
458,1,0.480084,8e-06,0.999393
459,1,0.481132,8e-06,0.999401
461,1,0.483229,8e-06,0.999409
463,2,0.485325,1.5e-05,0.999424
465,3,0.487421,2.3e-05,0.999447
467,2,0.489518,1.5e-05,0.999462
468,1,0.490566,8e-06,0.99947
471,1,0.493711,8e-06,0.999478
474,1,0.496855,8e-06,0.999486
475,2,0.497904,1.5e-05,0.999501
477,1,0.5,8e-06,0.999509
479,1,0.502096,8e-06,0.999517
483,2,0.506289,1.5e-05,0.999532
485,1,0.508386,8e-06,0.99954
487,1,0.510482,8e-06,0.999548
490,3,0.513627,2.3e-05,0.999571
492,2,0.515723,1.5e-05,0.999586
493,1,0.516771,8e-06,0.999594
494,1,0.51782,8e-06,0.999602
495,1,0.518868,8e-06,0.99961
496,1,0.519916,8e-06,0.999618
497,1,0.520964,8e-06,0.999626
500,2,0.524109,1.5e-05,0.999641
501,1,0.525157,8e-06,0.999649
504,1,0.528302,8e-06,0.999657
506,1,0.530398,8e-06,0.999665
508,1,0.532495,8e-06,0.999673
510,1,0.534591,8e-06,0.999681
515,1,0.539832,8e-06,0.999689
520,1,0.545073,8e-06,0.999697
521,1,0.546122,8e-06,0.999705
526,1,0.551363,8e-06,0.999713
534,2,0.559748,1.5e-05,0.999728
540,1,0.566038,8e-06,0.999736
542,1,0.568134,8e-06,0.999744
543,1,0.569182,8e-06,0.999752
544,2,0.570231,1.5e-05,0.999767
546,1,0.572327,8e-06,0.999775
551,1,0.577568,8e-06,0.999783
564,1,0.591195,8e-06,0.999791
572,1,0.599581,8e-06,0.999799
573,1,0.600629,8e-06,0.999807
581,1,0.609015,8e-06,0.999815
585,1,0.613208,8e-06,0.999823
591,1,0.619497,8e-06,0.999831
599,1,0.627883,8e-06,0.999839
605,1,0.634172,8e-06,0.999847
608,1,0.637317,8e-06,0.999855
612,1,0.641509,8e-06,0.999863
614,1,0.643606,8e-06,0.999871
615,1,0.644654,8e-06,0.999879
616,1,0.645702,8e-06,0.999887
620,2,0.649895,1.5e-05,0.999902
621,1,0.650943,8e-06,0.99991
624,1,0.654088,8e-06,0.999918
630,1,0.660377,8e-06,0.999926
662,1,0.69392,8e-06,0.999934
663,1,0.694969,8e-06,0.999942
684,1,0.716981,8e-06,0.99995
704,1,0.737945,8e-06,0.999958
725,1,0.759958,8e-06,0.999966
726,1,0.761006,8e-06,0.999974
729,1,0.764151,8e-06,0.999982
751,1,0.787212,8e-06,0.99999
752,1,0.78826,8e-06,0.999998
761,1,0.797694,8e-06,1.000006
791,1,0.82914,8e-06,1.000014
842,1,0.8826,8e-06,1.000022
874,1,0.916143,8e-06,1.00003
