ClimateZone	nTaxa	Average path length	Transitivity	Modularity	Density	Run
Cfa	58	0.275341292060748	0.169811320754717	0.834498985866551	0.0235934664246824	3
Cfb	58	0.0944402178295807	0.329268292682927	0.826394177768428	0.0278281911675741	3
Csa	58	0.185754488569163	0	0.774444712619079	0.00786448880822747	3
Csb	58	0.155543866124742	0.403846153846154	0.825195367237076	0.0235934664246824	3
Cwb	58	0.100637426820945	0	0.870604994569684	0.00967937084089534	3
Dfa	58	0.249673645265016	0	0.801256590408539	0.0181488203266788	3
Dfb	58	0.249738973622927	0.0789473684210526	0.846971820312526	0.0199637023593466	3
Dfc	58	0.235796869911061	0.15	0.86214123253639	0.0223835450695705	3
Dwb	58	0.392165211779104	0.130434782608696	0.844239593678648	0.0163339382940109	3
Dwc	58	0.226479455482453	0.176470588235294	0.804052427864896	0.0193587416817907	3
EF	58	0.379101041218662	0.127659574468085	0.760863942879007	0.0302480338777979	3
ET	58	0.276461389376911	0.130434782608696	0.844522461127379	0.0254083484573503	3
Af	58	0.342715942925937	0.0923076923076923	0.771133652918768	0.0272232304900182	4
Am	58	0.241897100400365	0.203389830508475	0.781026601891288	0.0254083484573503	4
Aw	58	0.146053730051074	0.206896551724138	0.57245818791443	0.0229885057471264	4
BSh	58	0.287768778461493	0	0.780392734667532	0.0114942528735632	4
BSk	58	0.209454758222375	0.324324324324324	0.869247831203373	0.0223835450695705	4
BWh	58	0.0196524537110271		0.796205578580807	0.00423472474289171	4
BWk	58	0.0145602246064303	0	0.736857061428865	0.00302480338777979	4
Cfa	58	0.390337687992131	0.203389830508475	0.79691750949232	0.0235934664246824	4
Cfb	58	0.269403147762665	0.17910447761194	0.812546647588455	0.0248033877797943	4
Csa	58	0.124273774831035	0	0.84255459028791	0.00786448880822747	4
Csb	58	0.276235583775918	0.181818181818182	0.839198158193536	0.0187537810042347	4
Cwb	58	0.12672629321273	0	0.816669285783095	0.00907441016333938	4
Dfa	58	0.145539839994036	0.230769230769231	0.83372677354893	0.0157289776164549	4
Dfb	58	0.318529065972515	0.130434782608696	0.791842933832294	0.0175438596491228	4
Dfc	58	0.371597941765631	0.223880597014925	0.822044943844069	0.0254083484573503	4
Dwb	58	0.387757284070176	0	0.850122930512669	0.0175438596491228	4
Dwc	58	0.144662331227983	0.15	0.784052552039169	0.014519056261343	4
EF	58	0.276819805366579	0.202702702702703	0.789026186631493	0.0248033877797943	4
ET	58	0.250142959795972	0.0612244897959184	0.827594747355257	0.0241984271022384	4
Af	58	0.2095659443067	0	0.855604492319376	0.0157289776164549	5
Am	58	0.387513329643474	0.0769230769230769	0.767065771804865	0.029038112522686	5
Aw	58	0.17758065029135	0.266666666666667	0.849617757786121	0.0229885057471264	5
