"ClimateZone","level","value","N","Freq","n1","PresentIn","n2","PresentIn (as Hub)"
"ET","Phylum","Verrucomicrobia",1,0.0769,19,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",10,"Am/Aw/BSh/BSk/Cfa/Cfb/Csa/Cwb/Dfa/ET"
"ET","Class","Chloracidobacteria",2,0.1538,19,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",9,"Am/Aw/Cfa/Cfb/Csa/Cwb/Dfa/Dwc/ET"
"ET","Class","Gemmatimonadetes",2,0.1538,17,"Af/Am/Aw/BSh/BSk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",5,"Af/Cfb/Dfb/Dwc/ET"
"ET","Class","Solibacteres",2,0.1538,19,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",12,"Af/Aw/BSk/BWh/Cfb/Csb/Cwb/Dfa/Dfc/Dwc/EF/ET"
"ET","Class","Alphaproteobacteria",1,0.0769,19,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",16,"Af/Aw/BSh/BSk/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfb/Dfc/Dwb/Dwc/EF/ET"
"ET","Class","Deltaproteobacteria",1,0.0769,19,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",10,"Af/Aw/BSk/Cfb/Csb/Dfc/Dwb/Dwc/EF/ET"
"ET","Class","Planctomycetia",1,0.0769,19,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",6,"Af/Aw/BWh/Cfb/Dwb/ET"
"ET","Class","Saprospirae",1,0.0769,19,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",10,"Am/Cfa/Csb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET"
"ET","Class","Spartobacteria",1,0.0769,18,"Af/Am/Aw/BSh/BSk/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",4,"Cfa/Cfb/Cwb/ET"
"ET","Class","Thermoleophilia",1,0.0769,19,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",8,"Af/Aw/Cwb/Dfa/Dfc/Dwb/Dwc/ET"
"ET","Class","iii1-8",1,0.0769,18,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",3,"Cwb/Dwb/ET"
"ET","Order","RB41",2,0.1538,19,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",9,"Am/Aw/Cfa/Cfb/Csa/Cwb/Dfa/Dwc/ET"
"ET","Order","Solibacterales",2,0.1538,19,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",12,"Af/Aw/BSk/BWh/Cfb/Csb/Cwb/Dfa/Dfc/Dwc/EF/ET"
"ET","Order","Chthoniobacterales",1,0.0769,18,"Af/Am/Aw/BSh/BSk/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",4,"Cfa/Cfb/Cwb/ET"
"ET","Order","DS-18",1,0.0769,18,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",3,"Cwb/Dwb/ET"
"ET","Order","Gemmatimonadales",1,0.0769,16,"Af/Am/Aw/BSh/BSk/Cfa/Cfb/Csa/Csb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",2,"Dwc/ET"
"ET","Order","Myxococcales",1,0.0769,19,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",7,"Af/BSk/Cfb/Csb/Dfc/EF/ET"
"ET","Order","Pirellulales",1,0.0769,19,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",2,"BWh/ET"
"ET","Order","Rhizobiales",1,0.0769,19,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",11,"Af/Aw/BSh/Cfa/Csa/Csb/Dfb/Dfc/Dwb/EF/ET"
"ET","Order","Saprospirales",1,0.0769,19,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",10,"Am/Cfa/Csb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET"
"ET","Order","Solirubrobacterales",1,0.0769,19,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",5,"Af/Cwb/Dfa/Dwb/ET"
"ET","Order","unassigned",1,0.0769,19,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",18,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/ET"
"ET","Family","unassigned",6,0.4615,19,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",19,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET"
"ET","Family","Bryobacteraceae",1,0.0769,14,"Af/Am/Aw/BSk/Cfa/Cfb/Csb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",2,"Af/ET"
"ET","Family","Chitinophagaceae",1,0.0769,19,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",9,"Am/Csb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET"
"ET","Family","Chthoniobacteraceae",1,0.0769,18,"Af/Am/Aw/BSh/BSk/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",4,"Cfa/Cfb/Cwb/ET"
"ET","Family","Ellin5301",1,0.0769,16,"Af/Am/Aw/BSh/BSk/Cfa/Cfb/Csa/Csb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",2,"Dwc/ET"
"ET","Family","Hyphomicrobiaceae",1,0.0769,19,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",9,"Aw/Cfa/Csa/Csb/Dfb/Dfc/Dwb/EF/ET"
"ET","Family","Pirellulaceae",1,0.0769,19,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",2,"BWh/ET"
"ET","Family","Solirubrobacteraceae",1,0.0769,19,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",3,"Af/Cwb/ET"
"ET","Genus","unassigned",10,0.7692,19,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",19,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET"
"ET","Genus","DA101",1,0.0769,18,"Af/Am/Aw/BSh/BSk/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",4,"Cfa/Cfb/Cwb/ET"
"ET","Genus","Niabella",1,0.0769,16,"Af/Am/Aw/BSh/BSk/Cfa/Cfb/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",3,"Dwb/Dwc/ET"
"ET","Genus","Rhodoplanes",1,0.0769,19,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",8,"Aw/Csa/Csb/Dfb/Dfc/Dwb/EF/ET"
"ET","Species","unassigned",13,1,19,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET",19,"Af/Am/Aw/BSh/BSk/BWh/BWk/Cfa/Cfb/Csa/Csb/Cwb/Dfa/Dfb/Dfc/Dwb/Dwc/EF/ET"
