"ClimateZone","level","from","to","x","n","n1","n2","pvalue","p.adj"
"Af","Class","12","deltaproteobacteria",3,919,18,12190,0.0417446281917738,0.104083689259609
"Af","Class","12","flavobacteriia",1,919,3,12205,0.0161328421377018,0.0578212032566607
"Af","Class","12","nitrospira",1,919,9,12199,0.143282073389067,0.228516467251839
"Af","Class","12","opitutae",2,919,2,12206,0,0
"Af","Class","12","pedosphaerae",2,919,11,12197,0.0444437087105681,0.106973335680933
"Af","Class","12","planctomycetia",1,919,6,12202,0.0692848993512927,0.140269731858053
"Af","Class","12","prr",3,919,30,12178,0.185976748985574,0.273332197521519
"Af","Class","5","5",1,919,9,12199,0.143282073389067,0.228516467251839
"Af","Class","5","6",4,919,29,12179,0.0628134921656083,0.13312135849871
"Af","Class","5","acidobacteria",33,919,467,11741,0.608102133852572,0.663905571956158
"Af","Class","6","6",4,919,45,12163,0.248622512477106,0.338004534217139
"Af","Class","6","8",3,919,24,12184,0.101853376288393,0.180183833153782
"Af","Class","6","acidobacteria",76,919,966,11242,0.311340781401887,0.398084392789709
"Af","Class","8","acidobacteriia",1,919,11,12197,0.198579070773887,0.286498394500056
"Af","Class","8","actinobacteria",2,919,19,12189,0.168015384952526,0.255331914331574
"Af","Class","8","alphaproteobacteria",2,919,53,12155,0.772408579203983,0.805210219411595
"Af","Class","8","betaproteobacteria",3,919,18,12190,0.0417446281917738,0.104083689259609
"Af","Class","8","chloracidobacteria",1,919,28,12180,0.633793513850046,0.685213139402515
"Af","Class","8","deltaproteobacteria",1,919,13,12195,0.25585121894103,0.345138241931781
"Af","Class","8","ellin6529",1,919,5,12203,0.0485746266781192,0.111950876721603
"Af","Class","8","flavobacteriia",1,919,2,12206,0.00566115084903374,0.0309407027928764
"Af","Class","8","iii1",3,919,104,12104,0.958817299753578,0.965187024537543
"Af","Class","acidimicrobiia","alphaproteobacteria",1,919,26,12182,0.592925672417346,0.65048937720347
"Af","Class","acidimicrobiia","chloracidobacteria",2,919,9,12199,0.0253257401002982,0.0764727239115526
"Af","Class","acidimicrobiia","cytophagia",1,919,3,12205,0.0161328421377018,0.0578212032566607
"Af","Class","acidimicrobiia","deltaproteobacteria",2,919,9,12199,0.0253257401002982,0.0764727239115526
"Af","Class","acidimicrobiia","gemmatimonadetes",1,919,3,12205,0.0161328421377018,0.0578212032566607
"Af","Class","acidimicrobiia","sva0725",1,919,1,12207,0,0
"Af","Class","acidimicrobiia","zetaproteobacteria",1,919,1,12207,0,0
"Af","Class","acidobacteriia","acidobacteriia",3,919,41,12167,0.372786428745687,0.456144752631965
"Af","Class","acidobacteriia","alphaproteobacteria",16,919,136,12072,0.0264572363249783,0.0788184477327504
"Af","Class","acidobacteriia","bacilli",2,919,7,12201,0.0118233126154881,0.0493417563031936
"Af","Class","acidobacteriia","betaproteobacteria",2,919,28,12180,0.353514456470105,0.4383558220833
"Af","Class","acidobacteriia","chloracidobacteria",1,919,25,12183,0.571247804911861,0.631612498326428
"Af","Class","acidobacteriia","cytophagia",2,919,6,12202,0.00715408133177231,0.0349484840674035
"Af","Class","acidobacteriia","deltaproteobacteria",7,919,40,12168,0.00884653105381494,0.0407502092407389
"Af","Class","acidobacteriia","ellin6529",1,919,3,12205,0.0161328421377018,0.0578212032566607
"Af","Class","acidobacteriia","gammaproteobacteria",3,919,29,12179,0.170635056194995,0.256044753030084
"Af","Class","acidobacteriia","gemmatimonadetes",1,919,31,12177,0.688967332813299,0.733737330939946
"Af","Class","acidobacteriia","nitrospira",1,919,7,12201,0.0922695340456144,0.168717694572642
"Af","Class","acidobacteriia","pedosphaerae",4,919,49,12159,0.307930333975797,0.395300585852479
"Af","Class","acidobacteriia","planctomycetia",1,919,22,12186,0.501297196400151,0.571012210045631
"Af","Class","acidobacteriia","solibacteres",6,919,77,12131,0.35950755080456,0.443543438698032
"Af","Class","acidobacteriia","sphingobacteriia",2,919,15,12193,0.0981209518111064,0.176446221252295
"Af","Class","acidobacteriia","thermoleophilia",5,919,45,12163,0.119421854984671,0.2010629776651
"Af","Class","acidobacteriia","unassigned",2,919,7,12201,0.0118233126154881,0.0493417563031936
"Af","Class","actinobacteria","actinobacteria",3,919,66,12142,0.742176308089006,0.779593817949808
"Af","Class","actinobacteria","alphaproteobacteria",10,919,169,12039,0.735174088541686,0.773554807639216
"Af","Class","actinobacteria","bacilli",2,919,26,12182,0.31111339484604,0.397824170716823
"Af","Class","actinobacteria","betaproteobacteria",6,919,46,12162,0.0546958274431724,0.120523230539429
"Af","Class","actinobacteria","chloracidobacteria",4,919,46,12162,0.263194677521157,0.35247701148342
"Af","Class","actinobacteria","deltaproteobacteria",6,919,71,12137,0.285299200828126,0.373637622777867
