ClimateZone	nTaxa	Average path length	Transitivity	Modularity	Density	Run
BWh	114	0.774856408493799	0.0645161290322581	0.915740116180993	0.0131967085856234	4
BWk	114	0.319248482144995	0.145161290322581	0.92633844062844	0.0100916006831237	4
Cfa	114	0.446064170378939	0.231578947368421	0.820835186808568	0.0183201366247477	4
Cfb	114	0.329806287528826	0.184615384615385	0.847700613640394	0.0209594783418724	4
Csa	114	0.263220843367651	0.0441176470588235	0.889249200469483	0.0096258344977488	4
Csb	114	0.540192177589074	0.0606060606060606	0.869636858989481	0.016301816488123	4
Cwb	114	0.809958628519979	0.134328358208955	0.893564488219293	0.0139729855612483	4
Dfa	114	0.242339435088371	0.120805369127517	0.856364512285765	0.0145940071417482	4
Dfb	114	0.938189998447082	0.0857142857142857	0.865207012752814	0.0142834963514982	4
Dfc	114	0.338822409974047	0.171717171717172	0.844592100524785	0.0203384567613725	4
Dwb	114	0.464465122752865	0.0769230769230769	0.893148868580853	0.0139729855612483	4
Dwc	114	0.337809913879316	0.0842696629213483	0.875212252191743	0.0150597733271231	4
EF	114	0.351593913318904	0.178217821782178	0.799623498441538	0.023754075454122	4
ET	114	0.515473288223095	0.0980392156862745	0.816513124463377	0.0204937121564974	4
Af	114	0.221691260295812	0.141089108910891	0.789337308388206	0.0229777984784971	5
Am	114	0.401417509387057	0.111864406779661	0.825760447686045	0.0198726905759975	5
Aw	114	0.364613156771507	0.168103448275862	0.827450193063676	0.0181648812296227	5
BSh	114	1.11449617710193	0.0991735537190083	0.889040945936844	0.0136624747709983	5
BSk	114	0.28302009323706	0.126760563380282	0.832180095983436	0.0197174351808725	5
BWh	114	0.586856510708973	0.192660550458716	0.911462417629176	0.0131967085856234	5
BWk	114	0.440719461874563	0.0638297872340426	0.932195942715401	0.00931532370749884	5
Cfa	114	0.31179457581814	0.108108108108108	0.897796669599928	0.0131967085856234	5
Cfb	114	0.329661003263775	0.206896551724138	0.810767806018417	0.0186306474149977	5
Csa	114	0.294916501691058	0.0769230769230769	0.899015846673759	0.00776276975624903	5
Csb	114	0.569271170708508	0.0920245398773006	0.870199176538026	0.016146561092998	5
Cwb	114	0.488874084817267	0.102739726027397	0.836688614692215	0.0142834963514982	5
Dfa	114	0.33846851215507	0.10880829015544	0.858304673988897	0.0166123272783729	5
Dfb	114	0.488267703946273	0.0648648648648649	0.853664381112258	0.015680794907623	5
Dfc	114	0.385880071492197	0.225	0.818727761794448	0.0178543704393728	5
Dwb	114	0.299595612428486	0.154411764705882	0.886271804201875	0.0139729855612483	5
Dwc	114	0.472059560312028	0.15	0.81892396277602	0.015680794907623	5
EF	114	0.504602859770631	0.205378973105135	0.821896935522231	0.0231330538736221	5
ET	114	0.484930535359822	0.118110236220472	0.798470176836483	0.0225120322931222	5
Af	114	0.23706830479758	0.105882352941176	0.811311492178827	0.0211147337369974	6
Am	114	0.316756008369715	0.217877094972067	0.811593651885862	0.0220462661077472	6
Aw	114	0.467236199978251	0.114982578397213	0.825313150009244	0.0195621797857476	6
BSh	114	0.974788572173647	0.0944881889763779	0.891424453076352	0.0133519639807483	6
BSk	114	0.513847700367495	0.113513513513514	0.754645978473835	0.0222015215028722	6
BWh	114	0.735028144556231	0.110091743119266	0.912063826674119	0.0139729855612483	6
BWk	114	0.488148454108331	0.125	0.90810847371411	0.0110231330538736	6
Cfa	114	0.308868861177817	0.213559322033898	0.845125059622901	0.0189411582052476	6
Cfb	114	0.289073352198816	0.135135135135135	0.857056679589045	0.0211147337369974	6
Csa	114	0.280862080939801	0.0638297872340426	0.928034008908969	0.00838379133674895	6
Csb	114	0.660802524916987	0	0.865650416513078	0.0150597733271231	6
Cwb	114	0.573694066959281	0.106382978723404	0.855262089848114	0.0141282409563732	6
Dfa	114	0.297677118967146	0.111801242236025	0.852297520910303	0.0133519639807483	6
Dfb	114	0.372552037770189	0.104651162790698	0.906006141113087	0.015680794907623	6
