"level","from","to","No. of climate zones","Climate zones"
"Phylum","od1","planctomycetes",1,"Dwc"
"Phylum","od1","proteobacteria",1,"Dwc"
"Phylum","planctomycetes","verrucomicrobia",1,"Af"
"Phylum","planctomycetes","ws3",1,"Af"
"Phylum","planctomycetes","spirochaetes",2,"Af/Dwc"
"Phylum","planctomycetes","proteobacteria",2,"BSh/Dwb"
"Phylum","planctomycetes","planctomycetes",3,"Cfb/Dfb/Dfc"
"Phylum","planctomycetes","unassigned",1,"Dwc"
"Phylum","proteobacteria","unassigned",1,"Af"
"Phylum","proteobacteria","ws3",1,"Af"
"Phylum","proteobacteria","spirochaetes",1,"BSk"
"Phylum","proteobacteria","verrucomicrobia",1,"Csa"
"Phylum","proteobacteria","proteobacteria",3,"Csa/Dfa/Dfc"
"Phylum","spirochaetes","ws3",2,"BSk/ET"
"Phylum","spirochaetes","unassigned",1,"EF"
"Phylum","unassigned","verrucomicrobia",1,"Aw"
"Phylum","unassigned","ws3",1,"BSh"
"Phylum","ws3","ws3",1,"Dfa"
"Class","1","actinobacteria",1,"Af"
"Class","1","chloroplast",1,"Am"
"Class","1","c6",2,"Am/Csb"
"Class","1","flavobacteriia",1,"Aw"
"Class","1","fibrobacteria",2,"BSk/Cfa"
"Class","1","gammaproteobacteria",2,"BSk/Csa"
"Class","1","acidimicrobiia",1,"BWh"
"Class","1","clostridia",1,"Cfb"
"Class","1","bacilli",1,"Cwb"
"Class","1","chthonomonadetes",2,"Cwb/ET"
"Class","1","1",1,"Dfa"
"Class","1","acidobacteriia",1,"Dfa"
"Class","1","deltaproteobacteria",1,"Dfa"
"Class","1","12",1,"Dfc"
"Class","1","5",1,"Dfc"
"Class","1","8",1,"Dfc"
"Class","1","elusimicrobia",1,"Dfc"
"Class","1","anaerolineae",1,"EF"
"Class","1","chloroflexi",1,"ET"
"Class","12","chthonomonadetes",1,"Af"
"Class","12","deltaproteobacteria",1,"Af"
"Class","12","om190",1,"Af"
"Class","12","anaerolineae",2,"Af/Cfb"
"Class","12","chloroflexi",2,"Af/Dfa"
"Class","12","opitutae",2,"Af/Dwb"
"Class","12","c6",1,"Am"
"Class","12","28",2,"Am/Csb"
"Class","12","da052",2,"Am/Dwc"
"Class","12","betaproteobacteria",1,"Aw"
"Class","12","cytophagia",1,"Aw"
"Class","12","136",2,"BSh/Cfa"
"Class","12","fimbriimonadia",1,"BSk"
"Class","12","leptospirae",2,"BSk/ET"
"Class","12","methylacidiphilae",2,"Cfa/Cfb"
"Class","12","flavobacteriia",1,"Csb"
"Class","12","pla4",2,"Csb/Dfb"
"Class","12","elusimicrobia",1,"Cwb"
"Class","12","12",1,"Dfa"
"Class","12","chloracidobacteria",1,"Dfa"
"Class","12","gemmatimonadetes",1,"Dfa"
"Class","12","actinobacteria",1,"Dfb"
"Class","12","prr",1,"Dfb"
"Class","12","gammaproteobacteria",1,"Dwb"
"Class","12","2",2,"Dwb/ET"
"Class","12","chloroplast",1,"EF"
"Class","136","c6",2,"Af/Cfa"
"Class","136","5",2,"Af/Cfb"
"Class","136","deltaproteobacteria",1,"Am"
"Class","136","gitt",1,"BSh"
"Class","136","gemmatimonadetes",2,"Cfb/ET"
"Class","136","alphaproteobacteria",1,"Cwb"
"Class","136","bacilli",2,"Dfb/Dwb"
"Class","136","clostridia",1,"EF"
"Class","136","cytophagia",1,"EF"
"Class","136","gammaproteobacteria",1,"EF"
"Class","136","acidimicrobiia",1,"ET"
"Class","2","acidimicrobiia",1,"Af"
"Class","2","chthonomonadetes",1,"Af"
"Class","2","chloracidobacteria",2,"Af/Cfa"
"Class","2","6",1,"Am"
"Class","2","bacilli",1,"BSk"
"Class","2","gammaproteobacteria",2,"BSk/Cfb"
"Class","2","anaerolineae",2,"BSk/Csb"
"Class","2","alphaproteobacteria",1,"BWk"
"Class","2","deltaproteobacteria",1,"Cfb"
"Class","2","c6",2,"Cfb/Dwc"
"Class","2","chloroplast",1,"Csb"
