"No. of Samples","No. of ESVs","Freq of Samples","Freq. of ESVs","cumsumFreq ESVs"
1044,2,0.243982,1.2e-05,0.993908
1045,1,0.244216,6e-06,0.993914
1046,2,0.24445,1.2e-05,0.993926
1047,1,0.244683,6e-06,0.993932
1048,1,0.244917,6e-06,0.993938
1049,3,0.245151,1.8e-05,0.993956
1050,2,0.245384,1.2e-05,0.993968
1051,2,0.245618,1.2e-05,0.99398
1052,2,0.245852,1.2e-05,0.993992
1053,2,0.246086,1.2e-05,0.994004
1054,1,0.246319,6e-06,0.99401
1055,4,0.246553,2.4e-05,0.994034
1056,4,0.246787,2.4e-05,0.994058
1057,2,0.24702,1.2e-05,0.99407
1058,2,0.247254,1.2e-05,0.994082
1059,1,0.247488,6e-06,0.994088
1060,1,0.247721,6e-06,0.994094
1062,1,0.248189,6e-06,0.9941
1063,3,0.248423,1.8e-05,0.994118
1064,3,0.248656,1.8e-05,0.994136
1065,2,0.24889,1.2e-05,0.994148
1066,2,0.249124,1.2e-05,0.99416
1067,2,0.249357,1.2e-05,0.994172
1068,1,0.249591,6e-06,0.994178
1069,3,0.249825,1.8e-05,0.994196
1070,5,0.250058,2.9e-05,0.994225
1071,2,0.250292,1.2e-05,0.994237
1072,3,0.250526,1.8e-05,0.994255
1073,2,0.25076,1.2e-05,0.994267
1074,1,0.250993,6e-06,0.994273
1075,1,0.251227,6e-06,0.994279
1076,4,0.251461,2.4e-05,0.994303
1078,1,0.251928,6e-06,0.994309
1079,2,0.252162,1.2e-05,0.994321
1080,1,0.252395,6e-06,0.994327
1081,3,0.252629,1.8e-05,0.994345
1082,1,0.252863,6e-06,0.994351
1086,5,0.253798,2.9e-05,0.99438
1087,3,0.254031,1.8e-05,0.994398
1089,2,0.254499,1.2e-05,0.99441
1090,1,0.254732,6e-06,0.994416
1091,2,0.254966,1.2e-05,0.994428
1092,2,0.2552,1.2e-05,0.99444
1093,2,0.255434,1.2e-05,0.994452
1094,2,0.255667,1.2e-05,0.994464
1095,1,0.255901,6e-06,0.99447
1096,2,0.256135,1.2e-05,0.994482
1097,3,0.256368,1.8e-05,0.9945
1098,1,0.256602,6e-06,0.994506
1099,3,0.256836,1.8e-05,0.994524
