"ClimateZone","level","from","to","N","Freq","cumsum Freq"
"Af","Class","actinobacteria","alphaproteobacteria",55,0.0131327602674308,0.13992359121299
"Af","Class","deltaproteobacteria","planctomycetia",49,0.0117000955109838,0.151623686723973
"Af","Class","planctomycetia","planctomycetia",46,0.0109837631327603,0.162607449856734
"Af","Class","alphaproteobacteria","chloracidobacteria",45,0.0107449856733524,0.173352435530086
"Af","Class","deltaproteobacteria","deltaproteobacteria",44,0.0105062082139446,0.183858643744031
"Af","Class","betaproteobacteria","deltaproteobacteria",43,0.0102674307545368,0.194126074498567
"Af","Class","acidobacteriia","alphaproteobacteria",38,0.00907354345749761,0.203199617956065
"Af","Class","alphaproteobacteria","thermoleophilia",38,0.00907354345749761,0.212273161413563
"Af","Class","deltaproteobacteria","unassigned",37,0.00883476599808978,0.221107927411652
"Af","Class","alphaproteobacteria","betaproteobacteria",37,0.00883476599808978,0.229942693409742
"Af","Class","alphaproteobacteria","gammaproteobacteria",36,0.00859598853868195,0.238538681948424
"Af","Class","alphaproteobacteria","solibacteres",34,0.00811843361986628,0.24665711556829
"Af","Class","actinobacteria","thermoleophilia",34,0.00811843361986628,0.254775549188157
"Af","Class","deltaproteobacteria","gammaproteobacteria",29,0.00692454632282713,0.261700095510984
"Af","Class","alphaproteobacteria","saprospirae",29,0.00692454632282713,0.268624641833811
"Af","Class","deltaproteobacteria","thermoleophilia",28,0.00668576886341929,0.27531041069723
"Af","Class","8","iii1",27,0.00644699140401146,0.281757402101242
"Af","Class","planctomycetia","unassigned",27,0.00644699140401146,0.288204393505253
"Af","Class","acidimicrobiia","alphaproteobacteria",26,0.00620821394460363,0.294412607449857
"Af","Class","acidimicrobiia","deltaproteobacteria",26,0.00620821394460363,0.30062082139446
"Af","Class","deltaproteobacteria","pedosphaerae",26,0.00620821394460363,0.306829035339064
"Af","Class","alphaproteobacteria","unassigned",26,0.00620821394460363,0.313037249283668
"Af","Class","deltaproteobacteria","gemmatimonadetes",25,0.0059694364851958,0.319006685768863
"Af","Class","deltaproteobacteria","saprospirae",25,0.0059694364851958,0.324976122254059
"Af","Class","betaproteobacteria","planctomycetia",24,0.00573065902578797,0.330706781279847
"Af","Class","planctomycetia","solibacteres",24,0.00573065902578797,0.336437440305635
"Af","Class","acidimicrobiia","planctomycetia",23,0.00549188156638013,0.341929321872015
"Af","Class","1","gemm",23,0.00549188156638013,0.347421203438395
"Af","Class","actinobacteria","deltaproteobacteria",23,0.00549188156638013,0.352913085004776
"Af","Class","actinobacteria","chloracidobacteria",22,0.0052531041069723,0.358166189111748
"Af","Class","actinobacteria","betaproteobacteria",22,0.0052531041069723,0.36341929321872
"Af","Class","alphaproteobacteria","gemmatimonadetes",21,0.00501432664756447,0.368433619866285
"Af","Class","alphaproteobacteria","pedosphaerae",20,0.00477554918815664,0.373209169054441
"Af","Class","planctomycetia","saprospirae",20,0.00477554918815664,0.377984718242598
"Af","Class","thermoleophilia","thermoleophilia",20,0.00477554918815664,0.382760267430755
"Af","Class","actinobacteria","planctomycetia",20,0.00477554918815664,0.387535816618911
"Af","Class","planctomycetia","thermoleophilia",18,0.00429799426934097,0.391833810888252
"Af","Class","phycisphaerae","planctomycetia",18,0.00429799426934097,0.396131805157593
"Af","Class","deltaproteobacteria","sphingobacteriia",18,0.00429799426934097,0.400429799426934
"Af","Class","alphaproteobacteria","opitutae",18,0.00429799426934097,0.404727793696275
"Af","Class","chloracidobacteria","deltaproteobacteria",18,0.00429799426934097,0.409025787965616
"Af","Class","pedosphaerae","planctomycetia",18,0.00429799426934097,0.413323782234957
