"variable",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Density","value","BSk","Dwc",100,100,10000,2.55e-34,4.25e-34,"****"
"Density","value","BSk","EF",100,100,10000,2.55e-34,4.25e-34,"****"
"Density","value","BSk","ET",100,100,9980.5,4.57e-34,6.66e-34,"****"
"Density","value","Cfa","Cfb",100,100,3750.5,0.002,0.002,"**"
"Density","value","Cfa","Csa",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Cfa","Csb",100,100,11,3.54e-34,5.39e-34,"****"
"Density","value","Cfa","Dfa",100,100,66,1.83e-33,2.5e-33,"****"
"Density","value","Cfa","Dfb",100,100,3407,9.96e-05,0.000104,"***"
"Density","value","Cfa","Dfc",100,100,11,3.54e-34,5.39e-34,"****"
"Density","value","Cfa","Dwb",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Cfa","Dwc",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Cfa","EF",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Cfa","ET",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Cfb","Csa",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Cfb","Csb",100,100,130.5,1.22e-32,1.58e-32,"****"
"Density","value","Cfb","Dfa",100,100,277,8.35e-31,1.03e-30,"****"
"Density","value","Cfb","Dfb",100,100,4771.5,0.577,0.583,"ns"
"Density","value","Cfb","Dfc",100,100,86,3.3e-33,4.39e-33,"****"
"Density","value","Cfb","Dwb",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Cfb","Dwc",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Cfb","EF",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Cfb","ET",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Csa","Csb",100,100,10000,2.55e-34,4.25e-34,"****"
"Density","value","Csa","Dfa",100,100,10000,2.55e-34,4.25e-34,"****"
"Density","value","Csa","Dfb",100,100,10000,2.55e-34,4.25e-34,"****"
"Density","value","Csa","Dfc",100,100,10000,2.55e-34,4.25e-34,"****"
"Density","value","Csa","Dwb",100,100,10000,2.55e-34,4.25e-34,"****"
"Density","value","Csa","Dwc",100,100,10000,2.55e-34,4.25e-34,"****"
"Density","value","Csa","EF",100,100,8514,9.06e-18,1.02e-17,"****"
"Density","value","Csa","ET",100,100,1463.5,5.61e-18,6.4e-18,"****"
"Density","value","Csb","Dfa",100,100,6328.5,0.001,0.001,"**"
"Density","value","Csb","Dfb",100,100,9937.5,1.65e-33,2.28e-33,"****"
"Density","value","Csb","Dfc",100,100,4911.5,0.83,0.83,"ns"
"Density","value","Csb","Dwb",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Csb","Dwc",100,100,107,6.14e-33,8.06e-33,"****"
"Density","value","Csb","EF",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Csb","ET",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Dfa","Dfb",100,100,9810,6.9e-32,8.73e-32,"****"
"Density","value","Dfa","Dfc",100,100,3400,9.28e-05,9.74e-05,"****"
"Density","value","Dfa","Dwb",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Dfa","Dwc",100,100,36,7.49e-34,1.08e-33,"****"
"Density","value","Dfa","EF",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Dfa","ET",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Dfb","Dfc",100,100,47.5,1.05e-33,1.49e-33,"****"
"Density","value","Dfb","Dwb",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Dfb","Dwc",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Dfb","EF",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Dfb","ET",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Dfc","Dwb",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Dfc","Dwc",100,100,62.5,1.65e-33,2.28e-33,"****"
"Density","value","Dfc","EF",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Dfc","ET",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Dwb","Dwc",100,100,9981.5,4.44e-34,6.57e-34,"****"
"Density","value","Dwb","EF",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Dwb","ET",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Dwc","EF",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Dwc","ET",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","EF","ET",100,100,153.5,2.4e-32,3.07e-32,"****"
"Modularity","value","Af","Am",100,100,9157,3.12e-24,3.81e-24,"****"
"Modularity","value","Af","Aw",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Af","BSk",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Af","Cfa",100,100,699,7.95e-26,1.01e-25,"****"
"Modularity","value","Af","Cfb",100,100,1539,2.78e-17,3.24e-17,"****"
"Modularity","value","Af","Csa",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Af","Csb",100,100,7256,3.57e-08,3.9e-08,"****"
"Modularity","value","Af","Dfa",100,100,7752,1.78e-11,2.01e-11,"****"
"Modularity","value","Af","Dfb",100,100,1738,1.6e-15,1.85e-15,"****"
"Modularity","value","Af","Dfc",100,100,8121,2.45e-14,2.8e-14,"****"
"Modularity","value","Af","Dwb",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Af","Dwc",100,100,9889,6.94e-33,1.07e-32,"****"
"Modularity","value","Af","EF",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Af","ET",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Am","Aw",100,100,9790,1.24e-31,1.78e-31,"****"
"Modularity","value","Am","BSk",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Am","Cfa",100,100,6,3.07e-34,5.76e-34,"****"
"Modularity","value","Am","Cfb",100,100,89,3.63e-33,5.78e-33,"****"
"Modularity","value","Am","Csa",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Am","Csb",100,100,2468,6.19e-10,6.91e-10,"****"
"Modularity","value","Am","Dfa",100,100,2631,7.16e-09,7.91e-09,"****"
"Modularity","value","Am","Dfb",100,100,118,8.52e-33,1.3e-32,"****"
"Modularity","value","Am","Dfc",100,100,2890,2.55e-07,2.76e-07,"****"
"Modularity","value","Am","Dwb",100,100,9957,9.27e-34,1.52e-33,"****"
"Modularity","value","Am","Dwc",100,100,8484,1.72e-17,2.03e-17,"****"
"Modularity","value","Am","EF",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Am","ET",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Aw","BSk",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Aw","Cfa",100,100,0,2.56e-34,5.27e-34,"****"
"Modularity","value","Aw","Cfb",100,100,0,2.56e-34,5.27e-34,"****"
"Modularity","value","Aw","Csa",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Aw","Csb",100,100,18,4.4e-34,7.57e-34,"****"
"Modularity","value","Aw","Dfa",100,100,19,4.53e-34,7.67e-34,"****"
"Modularity","value","Aw","Dfb",100,100,0,2.56e-34,5.27e-34,"****"
"Modularity","value","Aw","Dfc",100,100,14,3.9e-34,6.82e-34,"****"
"Modularity","value","Aw","Dwb",100,100,6753,1.85e-05,1.96e-05,"****"
"Modularity","value","Aw","Dwc",100,100,1490,9.9e-18,1.18e-17,"****"
"Modularity","value","Aw","EF",100,100,9935,1.78e-33,2.88e-33,"****"
"Modularity","value","Aw","ET",100,100,9998,2.72e-34,5.29e-34,"****"
"Modularity","value","BSk","Cfa",100,100,0,2.56e-34,5.27e-34,"****"
"Modularity","value","BSk","Cfb",100,100,0,2.56e-34,5.27e-34,"****"
"Modularity","value","BSk","Csa",100,100,182,5.51e-32,8.15e-32,"****"
"Modularity","value","BSk","Csb",100,100,0,2.56e-34,5.27e-34,"****"
"Modularity","value","BSk","Dfa",100,100,0,2.56e-34,5.27e-34,"****"
"Modularity","value","BSk","Dfb",100,100,0,2.56e-34,5.27e-34,"****"
"Modularity","value","BSk","Dfc",100,100,0,2.56e-34,5.27e-34,"****"
"Modularity","value","BSk","Dwb",100,100,0,2.56e-34,5.27e-34,"****"
"Modularity","value","BSk","Dwc",100,100,0,2.56e-34,5.27e-34,"****"
"Modularity","value","BSk","EF",100,100,7,3.16e-34,5.82e-34,"****"
"Modularity","value","BSk","ET",100,100,0,2.56e-34,5.27e-34,"****"
"Modularity","value","Cfa","Cfb",100,100,6396,0.00065,0.000682,"***"
"Modularity","value","Cfa","Csa",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Cfa","Csb",100,100,9795,1.07e-31,1.56e-31,"****"
"Modularity","value","Cfa","Dfa",100,100,9903,4.59e-33,7.19e-33,"****"
"Modularity","value","Cfa","Dfb",100,100,7050,5.51e-07,5.9e-07,"****"
"Modularity","value","Cfa","Dfc",100,100,9967,6.88e-34,1.15e-33,"****"
"Modularity","value","Cfa","Dwb",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Cfa","Dwc",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Cfa","EF",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Cfa","ET",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Cfb","Csa",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Cfb","Csb",100,100,9402,5.64e-27,7.22e-27,"****"
"Modularity","value","Cfb","Dfa",100,100,9606,2.24e-29,3.09e-29,"****"
